date,Month Day,Week day,Hour,Minute,DLR Open,DCA Open,DLR Close,DCA Close,Wait Ride 0,Open Ride 0,Wait Ride 1,Open Ride 1,Wait Ride 2,Open Ride 2,Wait Ride 3,Open Ride 3,Wait Ride 4,Open Ride 4
2018-11-01,16,6,13,0,8,8,0,22,24,1,8,1,43,1,50,1,30,1
2018-11-01,16,6,13,15,8,8,0,22,22,1,5,1,37,1,41,1,30,1
2018-11-01,16,6,13,30,8,8,0,22,20,1,13,1,32,1,38,1,30,1
2018-11-01,16,6,13,45,8,8,0,22,22,1,11,1,38,1,44,1,24,1
2018-11-01,16,6,14,0,8,8,0,22,25,1,8,1,47,1,50,1,21,1
2018-11-01,16,6,14,15,8,8,0,22,20,1,5,1,54,1,45,1,25,1
2018-11-01,16,6,14,30,8,8,0,22,17,1,8,1,60,1,40,1,29,1
2018-11-01,16,6,14,45,8,8,0,22,21,1,7,1,33,1,35,1,84,1
2018-11-01,16,6,15,0,8,8,0,22,24,1,8,1,36,1,41,1,63,1
2018-11-01,16,6,15,15,8,8,0,22,16,1,8,1,39,1,48,1,54,1
2018-11-01,16,6,15,30,8,8,0,22,22,1,8,1,42,1,58,1,48,1
2018-11-01,16,6,15,45,8,8,0,22,19,1,11,1,44,1,51,1,41,1
2018-11-01,16,6,16,0,8,8,0,22,17,1,16,1,42,1,54,1,32,1
2018-11-01,16,6,16,15,8,8,0,22,16,1,21,1,39,1,48,1,24,1
2018-11-01,16,6,16,30,8,8,0,22,24,1,26,1,36,1,58,1,32,1
2018-11-01,16,6,16,45,8,8,0,22,20,1,28,1,40,1,58,1,41,1
2018-11-01,16,6,17,0,8,8,0,22,15,1,11,1,43,1,54,1,32,1
2018-11-01,16,6,17,15,8,8,0,22,20,1,9,1,43,1,51,1,24,1
2018-11-01,16,6,17,30,8,8,0,22,18,1,8,1,41,1,34,1,17,1
2018-11-01,16,6,17,45,8,8,0,22,20,1,6,1,39,1,39,1,13,1
2018-11-01,16,6,18,0,8,8,0,22,15,1,5,1,43,1,31,1,10,1
2018-11-01,16,6,18,15,8,8,0,22,16,1,7,1,34,1,34,1,10,1
2018-11-01,16,6,18,30,8,8,0,22,17,1,8,1,28,1,25,1,10,1
2018-11-01,16,6,18,45,8,8,0,22,18,1,10,1,37,1,50,1,10,1
2018-11-01,16,6,19,0,8,8,0,22,19,1,14,1,45,1,81,1,10,1
2018-11-01,16,6,19,15,8,8,0,22,23,1,18,1,45,1,70,1,10,1
2018-11-01,16,6,19,30,8,8,0,22,17,1,22,1,45,1,59,1,10,1
2018-11-01,16,6,19,45,8,8,0,22,25,1,23,1,45,1,19,1,10,1
2018-11-01,16,6,20,0,8,8,0,22,23,1,23,1,45,1,40,1,10,1
2018-11-01,16,6,20,15,8,8,0,22,21,1,21,1,45,1,76,1,10,1
2018-11-01,16,6,20,30,8,8,0,22,19,1,19,1,45,1,65,1,10,1
2018-11-01,16,6,20,45,8,8,0,22,16,1,23,1,45,1,65,1,10,1
2018-11-01,16,6,21,0,8,8,0,22,13,1,23,1,39,1,48,1,10,1
2018-11-01,16,6,21,15,8,8,0,22,10,1,21,1,38,1,55,1,10,1
2018-11-01,16,6,21,30,8,8,0,22,7,1,19,1,40,1,36,1,10,1
2018-11-01,16,6,21,45,8,8,0,22,8,1,23,1,42,1,45,1,10,1
2018-11-01,16,6,22,0,8,8,0,22,7,1,23,1,39,1,19,1,10,1
2018-11-01,16,6,22,15,8,8,0,22,10,1,21,1,41,1,56,1,10,1
2018-11-01,16,6,22,30,8,8,0,22,7,1,19,1,36,1,44,1,10,1
2018-11-01,16,6,22,45,8,8,0,22,8,1,23,1,31,1,36,1,10,1
2018-11-01,16,6,23,0,8,8,0,22,7,1,14,1,26,1,40,1,10,1
2018-11-01,16,6,23,15,8,8,0,22,10,1,9,1,21,1,60,1,10,1
2018-11-01,16,6,23,30,8,8,0,22,7,1,5,1,16,1,49,1,10,1
2018-11-01,16,6,23,45,8,8,0,22,5,1,5,1,13,1,45,1,10,1
2018-11-01,17,7,8,0,8,8,0,22,5,1,5,1,13,1,15,1,5,1
2018-11-01,17,7,8,15,8,8,0,22,8,1,6,1,13,1,31,1,15,1
2018-11-01,17,7,8,30,8,8,0,22,12,1,7,1,13,1,23,1,27,1
2018-11-01,17,7,8,45,8,8,0,22,9,1,9,1,13,1,10,1,18,1
2018-11-01,17,7,9,0,8,8,0,22,11,1,7,1,13,1,28,1,23,1
2018-11-01,17,7,9,15,8,8,0,22,8,1,7,1,14,1,49,1,15,1
2018-11-01,17,7,9,30,8,8,0,22,12,1,11,1,23,1,38,1,27,1
2018-11-01,17,7,9,45,8,8,0,22,17,1,17,1,22,1,36,1,18,1
2018-11-01,17,7,10,0,8,8,0,22,22,1,23,1,26,1,36,1,23,1
2018-11-01,17,7,10,15,8,8,0,22,28,1,19,1,36,1,30,1,15,1
2018-11-01,17,7,10,30,8,8,0,22,32,1,26,1,39,1,52,1,27,1
2018-11-01,17,7,10,45,8,8,0,22,34,1,20,1,38,1,56,1,39,1
2018-11-01,17,7,11,0,8,8,0,22,36,1,23,1,36,1,46,1,50,1
2018-11-01,17,7,11,15,8,8,0,22,39,1,26,1,35,1,43,1,61,1
2018-11-01,17,7,11,30,8,8,0,22,38,1,26,1,39,1,61,1,64,1
2018-11-01,17,7,11,45,8,8,0,22,33,1,27,1,38,1,75,1,68,1
2018-11-01,17,7,12,0,8,8,0,22,29,1,23,1,36,1,72,1,60,1
2018-11-01,17,7,12,15,8,8,0,22,24,1,20,1,35,1,68,1,35,1
2018-11-01,17,7,12,30,8,8,0,22,22,1,16,1,47,1,61,1,40,1
2018-11-01,17,7,12,45,8,8,0,22,35,1,16,1,68,1,54,1,40,1
2018-11-01,17,7,13,0,8,8,0,22,41,1,19,1,79,1,48,1,40,1
2018-11-01,17,7,13,15,8,8,0,22,45,1,17,1,67,1,41,1,40,1
2018-11-01,17,7,13,30,8,8,0,22,48,1,18,1,55,1,48,1,43,1
2018-11-01,17,7,13,45,8,8,0,22,17,1,16,1,46,1,46,1,47,1
2018-11-01,17,7,14,0,8,8,0,22,29,1,19,1,55,1,65,1,49,1
2018-11-01,17,7,14,15,8,8,0,22,26,1,17,1,59,1,69,1,45,1
2018-11-01,17,7,14,30,8,8,0,22,22,1,18,1,55,1,65,1,41,1
2018-11-01,17,7,14,45,8,8,0,22,26,1,16,1,52,1,62,1,35,1
2018-11-01,17,7,15,0,8,8,0,22,24,1,19,1,55,1,48,1,50,1
2018-11-01,17,7,15,15,8,8,0,22,26,1,17,1,59,1,36,1,57,1
2018-11-01,17,7,15,30,8,8,0,22,22,1,18,1,55,1,40,1,52,1
2018-11-01,17,7,15,45,8,8,0,22,21,1,16,1,52,1,48,1,53,1
2018-11-01,17,7,16,0,8,8,0,22,23,1,19,1,50,1,51,1,30,1
2018-11-01,17,7,16,15,8,8,0,22,25,1,17,1,50,1,46,1,43,1
2018-11-01,17,7,16,30,8,8,0,22,26,1,18,1,50,1,50,1,35,1
2018-11-01,17,7,16,45,8,8,0,22,28,1,16,1,47,1,56,1,33,1
2018-11-01,17,7,17,0,8,8,0,22,29,1,19,1,51,1,63,1,41,1
2018-11-01,17,7,17,15,8,8,0,22,28,1,17,1,59,1,38,1,34,1
2018-11-01,17,7,17,30,8,8,0,22,26,1,18,1,66,1,35,1,19,1
2018-11-01,17,7,17,45,8,8,0,22,23,1,16,1,65,1,51,1,16,1
2018-11-01,17,7,18,0,8,8,0,22,20,1,19,1,58,1,55,1,12,1
2018-11-01,17,7,18,15,8,8,0,22,23,1,17,1,54,1,58,1,10,1
2018-11-01,17,7,18,30,8,8,0,22,26,1,18,1,50,1,61,1,10,1
2018-11-01,17,7,18,45,8,8,0,22,29,1,16,1,42,1,65,1,10,1
2018-11-01,17,7,19,0,8,8,0,22,29,1,19,1,54,1,68,1,10,1
2018-11-01,17,7,19,15,8,8,0,22,27,1,21,1,54,1,68,1,10,1
2018-11-01,17,7,19,30,8,8,0,22,23,1,25,1,48,1,61,1,10,1
2018-11-01,17,7,19,45,8,8,0,22,16,1,30,1,43,1,55,1,10,1
2018-11-01,17,7,20,0,8,8,0,22,20,1,30,1,54,1,50,1,10,1
2018-11-01,17,7,20,15,8,8,0,22,23,1,30,1,44,1,45,1,10,1
2018-11-01,17,7,20,30,8,8,0,22,15,1,30,1,60,1,53,1,10,1
2018-11-01,17,7,20,45,8,8,0,22,14,1,30,1,48,1,50,1,10,1
2018-11-01,17,7,21,0,8,8,0,22,13,1,30,1,42,1,47,1,10,1
2018-11-01,17,7,21,15,8,8,0,22,11,1,30,1,35,1,41,1,10,1
2018-11-01,17,7,21,30,8,8,0,22,10,1,30,1,27,1,35,1,10,1
2018-11-01,17,7,21,45,8,8,0,22,9,1,30,1,21,1,36,1,10,1
2018-11-01,17,7,22,0,8,8,0,22,8,1,30,1,39,1,53,1,10,1
2018-11-01,17,7,22,15,8,8,0,22,7,1,30,1,43,1,40,1,10,1
2018-11-01,17,7,22,30,8,8,0,22,6,1,30,1,41,1,63,1,10,1
2018-11-01,17,7,22,45,8,8,0,22,5,1,30,1,38,1,47,1,10,1
2018-11-01,17,7,23,0,8,8,0,22,5,1,30,1,36,1,34,1,10,1
2018-11-01,17,7,23,15,8,8,0,22,5,1,30,1,27,1,44,1,10,1
2018-11-01,17,7,23,30,8,8,0,22,5,1,30,1,14,1,42,1,10,1
